comment,mbti_type
word moist find word juice kind gross random enough yes,INFJ
like always manage piss dislike thought yet always enjoy conversation insight infjs,INFJ
even silly random thought grossness word juice many time im interacting people especially work picture cartoon strip head topic actively discussing water cooler humor mundane stuffit pretty funny think,INFJ
automaton fun word automaton automaton automaton,INFJ
find word shaft funny like word long sound absolutely love really random feel good pronounce word like insane frame grain r sound combined long sound pronounce unnecessarily hard feel good entire mouth sttrraaannnngeee like grain word satisfying say child hood friend like hit rd grade love much affrrrraaiiiidd innnssaaannneee brraaiiiinnnn ffrrraaammmmee make long appreciate word last purposely try innntteeggrrraaaaaaaate word conversation grrrrrraaaiaaiaiaairrraiiaiiinnnneee frosted flake comin soon,INFJ
oh man random thought ever like weirdest statistic wish could know like many ppl like something small way even figure like many people world eating avocado right oh also used think thinking someone thinking like ok concept thought ok hard explain fully thinking anonymous person think person thinking person know person thinking thing thought moment thinking hope explained way understood ok person thinking right im thinking acknowledging thing know thought moment thinking also weird thought imagined random child born random day random country random time go find person year later said thinking moment born wouldnt insane thing ever insane sorry make sense head,INFJ
completely understand person thinking think even take step sometimes wonder whether time random thought person enter mind random thought entering thinking thinking,INFJ
always thinking im thinking like man wonder many people get thought billion people least u thinking lol let think right think friend side world going decide think think thought u total,INFJ
dont mean random thought xd one well organized observational overall depressing thats came thread surprised one ive seen random thought always interesting here something analyze though truely every thought claim random random conceptually reality thought reliant certain brain chemistry individual person different brain chemistry depending genetic code aka dna therefore thought based oddly specific lining small particle made condensed energy believe atom made condensed energy shown big bang theory string theory also wonder many infjs feel like theyre scientist nature oo,INFJ
youre insane lol thought like time whole understandable head meh infjs truely process thing least similar way would gone quite number step order organize others could understand therefore second guessing infj trait clearly able understand another thought insanity term apply people highly egotistical rely mind point harm member specie also harm selfishness world today unless hurt youre sane im though xd,INFJ
username awesome,INFJ
clever infjs intuitive bet part instinct led come name xd,INFJ
haha yeah kinda surprised one taken already,INFJ
life like hurricane duckburg race car laser aeroplane duck blur might solve mystery rewrite history duck tale wooooh,INFJ
debating awesomerisen insanityremix decided awesomerisen something overused im awesome went insanityremix xd,INFJ
insanityremix look cool letter together lol make think techno remixes like insanity lol dont know exactly describe awesome,INFJ
death know come u alive want need want deer dance invitation peace war staring face dressed black helmet fierce trained appropriate malcontent dispreportioned malcontent little boy smiled lonely world say little boy smiled lonely world pushing little child fully automatic like push weak around piercing radiant moon storming poor june life running hair approaching guiding light shallow year fright dream made winding though head head know awake need feel love love love fear never wanna alone ive forgotten road keep moving cloud cloud become unreal guess ill always home want try directing night lazy anything link imma say appreciate video game music mean copy pasta link music quote system serj tankian figure song,INFJ
lol clearly dont use forum much clearly didnt know copy pasting link reply add video xd,INFJ
also recommend listening one time listening video mess head,INFJ
life give lemon choice either throw back life demand orange b grow lemon tree c eat lemon reason making lemonade isnt option never told get sugar lemonade without sugar fucking disgusting,INFJ
reason divorce happen often live longer life think ye olde day wasnt uncommon people dying year old people died left right time heck living considered awesome lucky,INFJ
never want end relationship someone look like saw photo engagement party couple looked strikingly similar wonder whats like waking morning looking gazing happily love life nose face shape expression get lucky find another world thats probably really shallow bitchy thing say genuinely strike odd woman really looked like female version man bet life going make fall love doppelganger fate always spiteful like,INFJ
im driving city neighborhood house door door side street always scan house house think self there chance two people sex part house point since house built there also good chance least two totally different people sex house possibly room think pas several hundred home ponder variety people living good chance drove house thinking ridiculous math formula brain pretend calculate show gigantic overwhelming number couple house drove past fact sex,INFJ
know life give lemon squeeze eye teach punk mess also much advanced would race technologically four digit hand instead five would eight finger total would mean counting system would probably base eight instead base ten digital circuit computer utilize binary base two binary easily converted octal base eight fact would able represent byte data exactly finger hand would intuitive connection counting system counting system digital device made inner working device understandable people therefore widening pool people working given time accelerating development,INFJ
day since ive talked certain group people im still irritated behavior yesterday feel like could stop talking month wanted,INFJ
frodo could simply rode eagle mountain destroy ring sauron wouldnt time stop anyway movie would minute thousand people would lived arwin wouldnt even leave true love order find would get kid come back time true love becomes ruler kingdom oh one powerful wizard world wouldnt even trapped powerless water,INFJ
need calorie protein intake day dont eat enough im going sore tomorrow im hungry im surprised wasnt thread age ago last random thing alls awake,INFJ
wonder kind tech government want sneak cia nsa darpa,INFJ
know sun exploded wouldnt even get witness intriguedfascinated,INFJ
ever wonder world completely drained water many car boat would find ever wonder dark faster light,INFJ
part want sick diseased human better using money dont instead explosive another part want fucking disease wipe good maybe even population stupid people world making eachother suffer,INFJ
wonder lady visit gynecologist find starburst wrapper whooha lady year senior he term cougar cub pedophilia relationship would frowned upon would definitely get named awesome kitty,INFJ
whatever reason motivational poster flashed mind,INFJ
arnold palmer iced tea awesome drink people trust government much theyre lazy fight two black hair next left nipple thats chest hair grow im missing hylian shield tights go quest golden triangle master sword wall mounted think need tshirt sign around hand say extremely hot dont touch operating favorite gaming system matter new system always gamecube im part native american rest white race french canadian scottish welsh deutch french technically took land hate,INFJ
think many house could built homeless people great wall china structure deter invasion world flight discovered,INFJ
matter hard try cant get interested reading lexicography class week love word love languagehate reading history dictionary want go home bask weekend always gotta late youre wasting flavah wont able bask weekend muchi catch reading instead learning catalog shit,INFJ
seriously framed roger rabbit huge bunny google earth seriously stumbled upon,INFJ
lexicography complex concept linguistics computation theory computation talk lexicographical order programming language lexical scoping variable,INFJ
lexicography notcomputation field bit different generally speaking compiling editing writing dictionary chief focus dictionary rather linguistics since dictionary book language vocabulary certainly get deeper stuff dealing analysis linguistic relationship lot people people also study actual structure component dictionary well see would interesting far tedious,INFJ
thought one haha thats awesome,INFJ
want eat today welcome weekend homemade pho buffalo wing vietnamese pork dish white rice fried ice cream ah im hungry stomach already consumed two nectarine ate earlier preying hey lady shut person end phone hears hear people room next wonder many dead body wood holy crap dinosaur used roam land im standing eeek,INFJ
wonder long itll directly interface computer id definitely first guy get ethernet port installed brain imagine could write without keyboard getting word,INFJ
shit leave iron im pretty sure turned whew ive wondered im wondering againwhat middle earth ruin mordor sauron defeated ugly hell fell even bigger mess afterward couldnt level put strip mall something maybe orc memorial volcano thing might pose problem whatever mount doom might dormant evil destroyed longer anything doom parent college student complain weirdest thing need start keeping book greatest hit sure turned iron,INFJ
random thought came way school morning saw worker cutting grass steep hill right highway immediate thought without hesitation careful thought like shes going get finger cut saw lady driving past bus hand window thought like wearing short cold im always questioning thing turn,INFJ
there lot stereotyping site u group subgroup discussing group tossing everyone certain title expectation person titled act exactly infj titled people seen exotic rare thing sort commodity youve got infj friend cool maybe im old man thought many u site came avoid thing like,INFJ
im batman,INFJ
multitasking long period make unstable lose ability focus one thing time start spazzing,INFJ
heck mom always want chat catch im making use bathroom let pee peace common thing scream inside bathroom slightly related note interesting thing read shampoo bottle ill,INFJ
somewhere world tiger eating,INFJ
anybody else smell feeling give intense pleasure make whole body go nut smell firesmokewhatever hell smell burning flame smell great fact tomorrow im going try using ash deoderant feeling cold long feel cold evaporating feeling warming though give full body orgasm minus jizz,INFJ
ive never figured exactly smell kind like subtle perfume remember scent childhoodnow might smell year maybe twice never long sends mind body frenzy want ravish nearest girli obviously hold back wooonderful experience mind time,INFJ
going flow thinking much thing really help soothe nerve,INFJ
whats switch,INFJ
wonder would happen human werent materialistic would share stuff,INFJ
house may way switch turning light place like figuring water temple,INFJ
life dream die really waking another dream think reality,INFJ
random thought hell everyone seem uptight doorslam,INFJ
idea dont even know even though sharing information based experience,INFJ
big tray various tube acrylic paint halfpainted canvas two pseudoplants cast iron mickey mouse piggy bank flat iron iphone big cup soy milk bowl rice halfpainted clay rose halffinished clay rose toothpaste picture frame giant jar pickle paper pen,INFJ
share andor barter instead maybe,INFJ
share provide collectively labor organization finding way redistribute barter trade value service good isnt exactly pretty much existing society mixture capitalism welfare system people argue one arent enough devalue amount shared value economical liberty already order justify point still major aspect society know,INFJ
different instead working collectively work instead sharing material order exist society specie work piece paper slowly losing value day pas basically talking society set like native american european involvement yes realize flaw fought survive selfish desire comparing u today country really,INFJ
least im going sayerrrtype perfect thing concept flaw matter hard work get rid one another come,INFJ
sound like forgot mention quill inkfilled inkwell also writing desk,INFJ
im planning develop new addiction get rid old unhealthy addiction think ill go popcorn green tea addiction,INFJ
world surface covered water wonder arent mosquito maybe there many frog yay frog save day,INFJ
frosty snowman always portrayed really happy sort demeanor although dont doubt general merriment feel like general disposition would much existential maybe he used melting,INFJ
outgoing text go ecuador eat coconut grub incoming text two question taste like coconut cooked outgoing text might carry essence coconut depending palm tree grub whether theyll cooked completely optional incoming text prefer cooked outgoing text eat equator line hear become two pound lighter good wouldnt want feel guilty protein consume incoming text might float way outgoing text dont worry ego anchor earth,INFJ
somebody planet stupid enough eat bullet want ask person know taste like,INFJ
guy drive snowplough get work,INFJ
many thought little time time never really end blaise pascal man nature nothing compared infinite whole compared nothing middle point nothing infinitely remote understanding extreme end thing principle unattainably hidden impenetrable secrecy equally incapable seeing nothingness emerges infinity engulfed man know place occupy obviously gone astray fallen true place cannot find search everywhere anxiously vain midst impenetrable darkness anyone else see beauty,INFJ
life would infinitely cooler mortal kombat theme song playing head time,INFJ
wonder would happen u infjs randomly got together met one another,INFJ
brother lost bottle barnsley,INFJ
mind always overthinking overanalyzing seen people treasure want see last least one year without wanting kill,INFJ
thread nf forum listening bach something baroque era music shuts sluice gate subconscious diverts resource appreciating music like quiet right,INFJ
heck eat porkchop cant believe im google,INFJ
would fine calvados sauce serve creamed potato julienne carrot,INFJ
like talk like caveman sometimes think caveman funny like rock,INFJ
would infj find shehe spied professional spy,INFJ
people love sheldon big bang he adorkable,INFJ
dream winning lottery time really large like million dollar onesand giving away family people see deserving wake realize thats exactly would real,INFJ
planning something,INFJ
nah part infj random thought,INFJ
mmmmhmmmm,INFJ
favorite superpower would involve able externally manipulate energy within outside object able change energy form allowing something like transform wood energy anything want like iron gold even car needed,INFJ
know would fun take building elevator hopefully exact opposite push number see end floor obviously would discus number hand thats fun also would helpful hotel something doesnt lot people dont take elevator hahaand course hotel many floor,INFJ
infj boyfriend best piece advice possible ignore people bring nothing drama much possible theyd get tired theyd get tired stupid self,INFJ
thats brilliant xd infjish,INFJ
thinking moon lately beautiful captivating inspiring cold barren lifeless marred distant broken damaged time light stealing light sun still one beautiful thing ever seen mesmerizing oftentimes guess could take lesson something imperfect still beautiful,INFJ
thought something could write yesterday forget bleh,INFJ
eye puzzle piece real life like let grow old together every way demonic voice every way,INFJ
today stream consciousness likened looking beautiful woman playing electric guitar aircraft carrier made rainbow,INFJ
ever realize recent last visitor profile arranged alphabetically seems odd think cant catch stalker well see often show profile lol,INFJ
angelina jolie oscar reminded bad momspider character coraline looked like glamorous spider see skinny arm theyre half size arm widthwise leg like daddy long leg leg oh random go,INFJ
cant stop thinking also time angry tick flying nipple,INFJ
miss playing free bird guitar hero,INFJ
im wondering human ego cause conflict within specie mention everything else eyebrow,INFJ
fuuuuuu got cut meant eyebrow,INFJ
feminism thread long ago cant find video conveys thought subject,INFJ
wouldnt surprised mathematician likely ti user scientist likely te user,INFJ
arctic vortex shift trash bag blow wind beautiful oh yea leaf wind shield wiper making mad,INFJ
amazing powerful wind,INFJ
hard nipple,INFJ
elephant paradox really want baby jaguar blushed,INFJ
trying think waterfall failing miserably,INFJ
glad im one xd,INFJ
dont go chasing,INFJ
mozart might greatest musician time,INFJ
technically driven microscopic fire instance burn carbohydrate meaning molecule contains carbon hydrogen oxygen use oxygen inhale order produce water carbon dioxide exhale energy use live scientific term combustion reaction caused mixture carbon hydrogen oxygen atom react produce carbon dioxide water energy dictionary combustion act instance burning science,INFJ
apparently wiping shit kitchen roll equate pleasurable experience always pleasant occupy household cheap afford anything doesnt draw blood anus,INFJ
creative poetry im sad,INFJ
draw emotion think stagnant apathetic expression variable change based emotion look quality game like fable sonic franchise halo progressed theyre perceived developer perceive theyre executed time example im pretty sure youre experiencing people say better feel something nothing,INFJ
wonder people manage career thing ive half year seems soulcrushing awful,INFJ
read comment poster article ochocinco made laugh pretty good,INFJ
funny story sister came apartment one time go bathroom like hell dollar general soup dollar general air freshener dollar general qtips charmin toilet paper instantly came best response slogan line buy quality quality matter laughing hysterically even said copyright line said probably taken yes one thing never cheap toilet paper,INFJ
told last night next weekend able spend weekend together bounce everytime think cant wait day comeand tuesday damn,INFJ
interesting perspective p brand go little overboard ive never seen point scented toilet paper matter,INFJ
way neighbor dog know fresh,INFJ
beautiful man,INFJ
strange thing work sometimes,INFJ
yet message misinterpreted ignored mass allow behave insane manner choose pain misery quench ego quench selfishness make suffer suffer let mind run let ego run allow insanity run lead loving example show suffer,INFJ
change want see world say,INFJ
want listen morning maybe night go bed,INFJ
ripped phone listen often sometimes eye get warm shhhh dont tell anyone,INFJ
cant wait x paint number kit arrive,INFJ
love rose colored glass sometimes juxtaposition delusional contentment occasional latent misery spring depth soul concern run sentence anyway seems abnormal dualistic perspective coexist within character even possible indicative fragmented personality cant let question happiness think im screwed mean look self absorbed one person thank goodness random thread title think need go sleep,INFJ
mayan calendar ran day dun dun dun,INFJ
steady proportion people workvolunteer dogooding cause really prop ego somehow completely blind concept like truly working following something sake good job b actually addressing purpose logic underpinning work signed time seem blind incompetence shallowness driving involvement cause interesting watch frustrating end work hope im one people,INFJ
made another saying meaning let help let try,INFJ
could go homemade chocolate chip cookie dough right damn diet lol,INFJ
love suddenly given something think perfectly sum contradiction nature ni dominant personality especially infjs conform peceptionary norm accept necessity comfortable think certain way yet time constantly intuit insight complex working human mind perception reality example often might ponder idea reality make idea ultimately legal law excluding nature work believe work strength consequence believe willing enforce time realisation also open someone perspective small unimportant reel back important live alongside realisation whole mindset one big juxtaposition fascinating,INFJ
sc sad song completed connection,INFJ
duly noted nah thing happens whenever readlisten something reminds universe instance end game called minecraft there end poem always make shed least one tear especially get line universe said love universe said played game well universe said everything need within universe said stronger know universe said daylight universe said night universe said darkness fight within universe said light seek within universe said alone universe said separate every thing universe said universe tasting talking reading code universe said love love game player woke dream player began new dream player dreamed dreamed better player universe player love player wake first time read bawled eye depressed feeling disconnected lost motivation anything stuff like charlie chaplin speech ti inspiring,INFJ
blarf blarf blarf,INFJ
language humanity greatest invention caveman came idea two click tongue mean throwing rock deserves posthumous nobel prize,INFJ
today word face ray,INFJ
hell boob interesting mean know exist feed baby theyre still awe inspiring also funny girl stare ownother girl boob theyre wondering thing xd seriousness diarrhea funny kid tell dehydrate people kill one left laughing insane one,INFJ
like living,INFJ
silly thought sometimes randomly think would guy would definitely take advantage fact stomach would equal bottomless pit id scarf half pizza male friend capable understand stereotype isnt true whole male population thats one random thought many others like wonder parallel universe dream reality reality dream wonder would like zombie would thought would completely consumed desire feed brain shell person without thought lot whatif thought wink,INFJ
remix innsaaniiitttyyyyy rreeemmmmiiixxxx love name see feel cool youre favorite person name funny response maybe name make response funnier think insanity remix funniest thing ever like word insane insanity funny use time like insane listen lot trancetechno remixes funniest combo insanity remix lol best name ever also boob interesting weird thinking day hard find good one hate fake one porn theyre like ultra round stiff looking distanced thats worst imfo also overly tanned skin unfortunate,INFJ
sexually attracted men woman,INFJ
parallel world exists digital reality call technological interface,INFJ
niti loop massive headache ensues,INFJ
need slashermovies like tortureprrn crap uninspired stupid unhealthy,INFJ
dont mean cynical think taking photo become overrated annoying like going specific photo adventure taking mostly picture nature im hanging people stop every second picture feel ruin thing taking u immediacy moment unnatural interrupt flow whatever like hang people talk remember one time hung build new memory present talk past also like people talk people please concentrate please seems almost ironic infj infjs supposed hard time staying present feel im often one biggest urge stay focused get irritated trying draw people back,INFJ
photo nd hand experience see concert ask want pic fun thought dont wanna go concert saturday way much people standing next adoring band good night hug going home furious angry thoughs doom destruction,INFJ
anytime see word cookie forum get excited internally shout cooky wrong oh nothing wrong like cooky,INFJ
ness ness ness ness ness ness ness ness ness ness ness ness ness ness ness ness ness im happy friend hurt hurt im sad ness,INFJ
jellyfish,INFJ
wish flavor gum lasted forever,INFJ
especially realsugar bubble gum,INFJ
brother gave gum called quench today absolute fruity flavored bliss depressed second later flavor faded,INFJ
gave hearty chuckle thank know kind fruity flavored bliss fleeting huh suppose still grateful second bliss lol,INFJ
saw crazy movie earlier sucker punch liked steampunk interesting genre,INFJ
dream strange involve dying quick nightmare intense creepy describe fear anxiety causers shadow refer dead side one go dont know ill sleep tonight dont want another nightmare pop,INFJ
thank nothing dear wiki btw bad dream swear wakeup almost every night hour nightmare strange thing appartment open door opening closing door background angry scared,INFJ
wonder someone could become rich creating room filled breakable item vas table mirror allowed someone pay go room break everything sight vent frustration,INFJ
kinda blue taste bottled angel song first nightmare long time recently creepy mad doctorpirate tied table eviscerating could stash gold coin bury like chest,INFJ
san diego entrepreneur found perfect business frustrating time selling customer breakable fling wall,INFJ
life really fucking strange bag flesh moving around place world fueled microscopic fire element needed keep alive reason element end together also produce stuff like ink mucus poop hell happened make u way obviously evolution thats generalized,INFJ
well apparently need get roll eye,INFJ
fought u fight,INFJ
morphed,INFJ
noticed feeling today thread made way back top forum wondering felt could put thread mind came like looooobster,INFJ
boy like tamarind yum,INFJ
slang weird people say thing like thats cool shit man im bored hell usually answer type nonsensical statement yeah feel honestly ill leave first comparison obvious reason know mean even compare hell boredom,INFJ
still overies,INFJ
think finally time really fact passionate person also think time wear infj color fullfledged unapologetic pride,INFJ
think lot shared thought friend mine face looked,INFJ
fan making relaxing sound stare computer screen blankly meh ill look around perc one time feeling im going study,INFJ
yesterday ive finished giving test good kickin,INFJ
annoying way medium take quote completely context order turn headline garner attention,INFJ
morning drive towards freeway entrance get work find seeing many fashionistas streeta fashion show nearly everyday hood likeand think work girlboy,INFJ
want eat yukon gold potato tomorrow mean need go store tomorrow dammit,INFJ
keep getting lost surprisingly quiet mind ffffuuuuu,INFJ
strangely want sub subway havent tried oo concept bothering dont know ill like ill hate hate itll waste money oh goodness test tomorrow studying bleh,INFJ
still havent gotten used time change bright outside late evening morning pitch black driving work every time time change happens think time made spring forward fall backwhen trip dont fall forward doesnt memory foam spring back gregorian calender isnt great leap year make earth revolution speed around sun even leap day year end rule isnt earth actually slowing moon affecting standard time wasnt established around railroad systemcarbon dating isnt entirely reliable understanding thing way understand everything chaos people trying make order fiction living lie ahh,INFJ
heard ad radio new jalapeno tuna sandwich sound terrible,INFJ
went chicken thingy new italian selection line pretty good sandwich sound terrible opinion would bet taste horrible know maybe people like hot spicy tuna oo,INFJ
would try sadly seems need month new american sub find way germany,INFJ
jalapeo tunai thought joke saw menu day maybe running idea spicy tuna good sushi though,INFJ
recent discovery dont like certain food even though good make spicy possible taste heat reap health benefit also burning butthole next day whats better eating something make feel like crap eating something thatll make feel good leave wondering as burning much,INFJ
chiliheads unite yeah,INFJ
pen blue,INFJ
took cognitive function test another time todayand realized stressed scored excellent use ne fi ne use slightly le used ni first found puzzling dawned knew stressed inferior se kicked past week aware much shadow function emerged definitely fit psychology theory infj stress,INFJ
random stupid thought day ah there nothing like eating youre hungry,INFJ
much chicken sweet potato curry fridge idea im going finish mean yay meal rest weekmonth year man im going get sick serf as ive made enough maybe shouldve left repair guy fixing kitchen today little thank youbut dont know like chicken sweet potato curry one point interaction someone professional level ask alltoocrucial doyoualllikecurry phase ive missed perhaps im overthinking well whatever question ask utmost importance world weve sorted doesnt like curry truly one,INFJ
hell describe energetic pain besides pain doesnt dwell physical body also,INFJ
nostalgiaaaaa hadnt thought thing almost fifteen year suddenly remembered anyone else used catch kid still catch someone got one pet would love forever,INFJ
sure anyone would jealous victim poison arrow never envy advantage matter desirable curse convert wellwishers spitter venom friend enemy jealousy arrow pierce revealthe friend never truly loved loyalty never never forsake truly carefor,INFJ
want beach right,INFJ
wish could live jazz song would house shaped like fedora,INFJ
breath fresh air sometimes thats need may well lifeblood,INFJ
man beyonce really peaked crazy love insanely impressive debut pop artist maybe unique excellent start really bust onto scene single never live long career going much icon going seen yet nothing else since league crazy love strange anomaly body work almost think better onehit wonder,INFJ
