comment,mbti_type
haha share site ive hhad random thought drink belly button,INFP
driving home today noticed something pretty awesome sky dark sinister ahead cloud faded could see patch beautiful sunny sky distance realized beautiful metaphor driving toward light took picture dont know post picture,INFP
oh day wondered nowhere many people last name hitler went changed shocked,INFP
reminds pair light darkness drive world,INFP
wish could get inspired even often would le bitter sometimes miss child much younger firework computer game enough make happy remember fascinated character computer game wishing could live life come world trying trace path historical point remember last eid cousin played firework suddenly found childish mood reminded miss part past child wasnt exposed world much lived world forever full idealism never live,INFP
ridiculous number people dont know life never problem lot dream ambition young age built around honestly inspired post ive read decided im going bit every career appeal policing already dual degree psychology criminology im also going look field business health care even education prop know quote know lot thing wanted want teacheri also want astronautand also cake shop wish could live life five time overthen id born five different place id stuff different food around worldid live five different life five different occupationsand five livesid fall love person exciting inspiring,INFP
many earth day would take get mar,INFP
common w infps,INFP
appoximately day going mph whole way,INFP
bookmarkedtongue,INFP
hate see someone mere acquaintance ago dont know whether give hello stop chat give hello walk feel like jerk stay chitchat feel get real awkward there nothing talk ending conversation weird,INFP
yes would like tell anyone reading time precious waste life take full advantage fact whatever would like today value value almost dying week feel powerfully,INFP
approach make sure look like youre walking purpose throw hey youre friendly dont deal awkwardness trying come something talk time laughing reminds there cute guy work gas station go he always really chatty go buy something stumble wordsand blush profusely tend trip word like pressure onsometimes curse shyness tongue,INFP
along line xezenes post youre ever incredibly lonely hating life id love id hug id help pick fact need pm want help feel better,INFP
ideal love life would spending year someone completely loved death would visit different place make different discovery world together mind would expand beyond expectation would love everyone else life nonetheless would remain two fiercely independent unit even would connect others even people would enter heart even would wonder could instead would still find time space distance would surpass u would always fall love hand without need say word would feel though living life together would fight value regardless everyone else would say ahh dream love life dream future,INFP
love long time crazy,INFP
anyone heard jumpstyle interesting different dance maybe would spark someone interest guy right idea roud,INFP
recurring thought lately doctor ne,INFP
love british scifi showsthe old doctor badass also like red dwarfif havent seen fucking hilarious,INFP
debating swapping personality type infiltrating another section fun random idea talking someone want start entirely new last name whomever marry randomly wondered would happen changed something represented company like arbys would give free burger every month,INFP
change something like rolex zales,INFP
lad guess one day find way best best buddy youll able give free guess watch dont fall ill find way buddy wife ill go like oh know richard friend forum need friend shell fall charm ill family friend like extended family youll give free stuff guess company,INFP
anywayjokes aside really like quote kind refreshing raw honesty sake sounding sweet yes actually appreciate honesty speaks human condition restriction example quote like memory thing bind earlier self rest become entirely different every decade sloughing old persona renewing moving told isnt possible love part wish transmute love ignore muddle never pull know experience poet right love eternal thing cant explain anyone thing dont understand cant tell think thing im dont know strength im supposed start thinking thing much detail whole thing get scary get scared think become really selfcentered without meaning hurt people im wonderful human haruki murakami trying think honest quote dramatic paradox wish world wonder past feeling fear failure escaping towards unknown,INFP
fraction thought ive today wonder user somewhere different username youtube best deep house music uploads miss youtube google control internet go corporate get forcefed corporate stuff day reality see internet getting good friendship gone bad hard holding onto continue hinder u hey better loved lost never loved wish knew michael cretus marriage sandra went awry end divorce year would never ask thing even option still think listens dream dolphin wish parent enrolled foreign language course young want child future,INFP
another forum perc intj woman find quite wise way writes differs usually could expect majority people loved reading wrote time time often sound harsh nevertheless still tactful oepn minded possibility life admit like people like people go omg talking know answer serious roll eye,INFP
ben lee make doubt sexuality,INFP
ive repeating inside head long dont deserve dont deserve dont deserve im thinking dont deserve dont deserve dont deserve might actually go weekend find ponani good wont look back ill erase good,INFP
im freakin tired nightmare,INFP
im scared depression might creeping uninvited,INFP
hug,INFP
dreamed tapdancing hallway former elementary school yes really,INFP
possible seasonal affective disorder make mind stale unengaged day gradually starting get dark cold ability creative interest happening around getting progressively worse since summer bit grey cloud effect ice cream brain freeze degree sliding half tub ear eye nose,INFP
experience change mood loosely correspond weatherseasonal change worse one season certainly doesnt stay way throughout season,INFP
daydreaming little intensely showering today get mom knock door tell need come something tell wait minute til get shower get inand next thing know realize im almost done showering dont remember anything except id daydreaming get ask mom needed told didand even talked dont remember yikes,INFP
hrmm,INFP
random want share anyways im kind excited im growing mustache,INFP
always go random mood phase sometimes im happy alone content ambition something put depressed lonely romantic suck especially feel female population isnt really interesting,INFP
something quite amusing walking apartment greeted hell home early shortly followed go take shirt need fit convinced let wear least tanktop im expecting get order strip pant soon tongue,INFP
wonder many people notice singing dancing car,INFP
saw would roll window jam,INFP
find hard explain pattern see relate bigger picture insight sort gained independently,INFP
feeling king arthuresque lately im downloading clip movie relating reading,INFP
isnt going make sense basic notation im thinking steady state conscious stage actual dream experience different consciousness give new perspective hypnotic state meditiation increase well arguably shift consciousness meditative state dream state forming steady state model consciousness initial stage waking transient phase transient phase doesnt hit equilibrium sleep unless self awareness moment clarity reached perhaps difference awakened state one consistently unconscious conciousness former path steady state latter transient consciousness dynamic equilibrium reaction fact occur sometimes vigorously extent change composition cannot observed give cant fucked thinking anymore,INFP
dont tell anyone say mind breath thousand time day love variant simply wish time harder anything could someone like close enough would get tell loved time would sacrifice fight know someone really devoted crazy great im revealing cheesyass hopeless insane romantic side fuuuuuck,INFP
sometimes hate pick energy easily id get stuck either stream feeling feeling id decide act geeeeeeeeeeeeeeeeeeeez,INFP
tap energy might get overwhelmedbut care crazy asks silly remember babbling phone stuff listening half asleep yeah say said something bank right huh sound amused bank talking life old school crazycrazycrazycrazycrazy,INFP
oh god floored right went facebook found friend request frommy half sister seen couple time long time ago never really thought much dont anything biological dad god shes beautifuli hope bring life,INFP
sidenote smell really good right nowlaughing,INFP
believe infinite universe although scientist discovered size universe implying finite size actually appears finite example look arm appears finite infinitely small big would arm appear would infinitely long way length distance judged comparison arm appears finite compared finite thing measuring tape compared infinity becomes infinite another example infinity within seemingly finite space gap number appears difference include decimal point difference become infinite add infinite amount number decimal point never reach two infinity hehehe well thats theory anyway hard explain hope wasnt incomprehensible ramblings,INFP
think human nature still bound many connection meaning people take certain thing granted simply cannot see,INFP
believe infinite nature universe everything well also think everything essentially know rock thing anteater think everything made stuff connected infinite way hard explain guess kind see universe kind like stew extract spoonful get carrot potato gravy another spoonful get beef pea think everythings different manifestation making sense sound crazy,INFP
always thought nobody could see really tinted window pulled red light one day caught guy giving stare rather embarrassing,INFP
youre crazy make perfect sense funny people acid psychedelics come theory others see friend telling mind opening mushroom arehes istp telling made feel kind made laugh little inside idea came ive kind head long time telling crazy world revolves around math everything explained fact everything explained mathematically mean everything form another related mathematically think nfs really tune metaphysical concept time always fascinated well think time completely relative viewer completely blow away dont know anyone else feel,INFP
best cartoon ever,INFP
totally agree heard stanislav grofs experiment lsd found ton crazy thing showing connection people mind universe large instance people study took lsd recalled womb told grof feeling trauma mother went grof checked mother thing actually happened case mother hadnt even told happened also lot case people experienced thing completely range knowledge described perfectly feeling like atom one lady believed dinosaur told sexually attracted dinosaur cluster patchy scale side head grof spoke expert dinosaur actually type dinosaur whose scale side head sexually arousing dinosaur crazy,INFP
hope eventually able know want know universe think much itd sad never found question seeking since young age lsd study look extremely interesting love reading stuff like ive also taken liking study done dmt relates pineal gland birth death,INFP
ive singing girl week even though dont one lol biggie though like song fun sing,INFP
one week period song stuck head time couldnt stop singing annoyed crap boyfriend roud,INFP
ive fascinated stuff forever particular commonality experienced wide range user well religious experience alien abduction encounter may attributed excess dmt released pineal gland particular part brain affect fascinated wound trying,INFP
something reputably said ever happened sure lot kind alien encounter,INFP
refugee guy warrior night watch rome spartacus maybe troy gladiator ehh indulge king arthur fix though,INFP
cool know grof one scientific lsd researcher albert hoffmann also good sense timothy leary interesting another way wrote great book called high priest show social personal mystical side lsd phenomenon terence mckenna show fantastic side great speaker truly believe whole psychedelic culture imbued good intention youthful naivety used heavily involved art community amazing lot peace love tongue like secret underground culturehippie commune basically invented style music art music insanely intense would mix two complex psychedelic song together would blow people mind kind thing push limit im sure would really recommend every someone would panic attack psychological break party someone panic attack took clothes front hundred people forcefully sedated frustrating real risk involved kind thing despite good intention amazing experience,INFP
best friend said everything come heart everything good bad come heart true people dont see,INFP
hey got stickied thats couldnt find lol im fucking stoked right unbelievably happy getting know little sister first time life cant even discribe full love right wanted share fb dad friend might scoff something share insteadim pretty much bursting seam downside dad trying talk never knew except didnt want brother gave u dont know think,INFP
hell havent finished homework seems im part minority within minority according correlation mbti enneagram type,INFP
remembering time personality enough calm simple universe knew true,INFP
flirting girl never problem department im master flow conversation generally opinion anything everything challenged professor spent year training mind read mannerism extent im capable mind reading cue speak dream passion intend life plan kick nerd chill jock get question uhh who favorite movie actor blank thought give shit err cant say think name blank blank thought deflect conversation talk something else let ask something first halloween smile ill tell answer question thought stall curious eh blah blah blah back forth persistent finally came name sean connery shrug fail,INFP
think,INFP
believe religious sayingwhen heart spoilt every part person spoilt human full light darkness realize im saying im always filled lightsigh dry frustrating,INFP
use think could drink belly buttens younger thats funny really dont think lol laughing,INFP
cold ive huddling hoodies blanket extra layer everything like week cold hand foot always freezing think ive got point tolerate go something like typing keyboard start freezing ive got glove cut finger tip could type im wearing turtleneck sweater jacket im still cold room thats degree fail,INFP
always gag bit use tongue scrapper brushing ever became gay id bad lay,INFP
hahaha reminds something inappropriate also fact dated guy broke realized gay crazy great friend lol,INFP
inappropriate dare share youre among friend realized gay hrm must interesting conversation,INFP
hehe well mouth little small certain thing know mean blushed take concentration choke lol blushed yeah odd actually really nice breakup didnt ever much physically nothing kiss lip sometimes always wondered didnt like much dated month little pissed told hed kept time glad wasnt horrible breakup basically kissed goodbye sweet happy,INFP
hrm admittedly wondering sex sound minimal non existent stereotypically flamboyantly gay guy quite gifted whole motion ocean sort spiel wondering translated straight sexual relationship im guessing wasnt clear day gay,INFP
